Course ID,Required Course
CHFD 3112,CHFD 2113
CHFD 3112,CHFD 2412
CHFD 3113,CHFD 2111
CHFD 3113,CHFD 2113
CHFD 3113,CHFD 2412
CHFD 3114,CHFD 3112
CHFD 3115,CHFD 2111
CHFD 3115,CHFD 2113
CHFD 3115,CHFD 2412
CHFD 3116,CHFD 3112
CHFD 3116,CHFD 3115
CHFD 3118,CHFD 3113
CHFD 3414,CHFD 3112
CHFD 3416,CHFD 3113
CHNS 1202,CHNS 1201
CHNS 2201,CHNS 1202
CHNS 2202,CHNS 2201
CHNS 2205,CHNS 1202
CHNS 2205,CHNS 1205
CHNS 3201,CHNS 2202
CHNS 3202,CHNS 3201
CHNS 4050,CHNS 3202
CEGR 2102,ENGR 1201
CEGR 2103,ENGR 1202
CEGR 2104,ENGR 1202
CEGR 2154,CEGR 2102
CEGR 3111,CEGR 3122
CEGR 3111,CEGR 3255
CEGR 3111,CEGR 3278
CEGR 3122,MATH 2171
CEGR 3122,MEGR 2144
CEGR 3141,MATH 2171
CEGR 3141,CHEM 1251
CEGR 3141,CHEM 1251L
CEGR 3141,MEGR 2141
CEGR 3143,MATH 2171
CEGR 3143,MEGR 2141
CEGR 3155,CHEM 1251
CEGR 3155,CHEM 1251L
CEGR 3161,MATH 2241
CEGR 3161,CEGR 2102
CEGR 3161,CEGR 2103
CEGR 3161,MEGR 2141
CEGR 3202,CEGR 3201
CEGR 3221,CEGR 3122
CEGR 3221,CEGR 3255
CEGR 3225,CEGR 3122
CEGR 3225,CEGR 3255
CEGR 3231,CEGR 3161
CEGR 3233,CEGR 3161
CEGR 3235,CEGR 3161
CEGR 3235,CEGR 3153
CEGR 3255,MEGR 2141
CEGR 3278,MATH 2171
CEGR 3278,MEGR 2144
CEGR 4108,CEGR 4224
CEGR 4122,CEGR 2102
CEGR 4122,CEGR 3122
CEGR 4122,CEGR 3278
CEGR 4123,CEGR 3122
CEGR 4123,CEGR 3221
CEGR 4123,CEGR 3225
CEGR 4126,CEGR 3122
CEGR 4128,CEGR 4224
CEGR 4142,CEGR 3141
CEGR 4144,CEGR 3143
CEGR 4145,CEGR 3143
CEGR 4146,CEGR 3143
CEGR 4147,CEGR 3141
CEGR 4147,CEGR 3143
CEGR 4149,CEGR 3141
CEGR 4153,CEGR 3141
CEGR 4161,CEGR 3161
CEGR 4162,CEGR 3161
CEGR 4168,CEGR 3161
CEGR 4171,CEGR 3161
CEGR 4181,CEGR 3161
CEGR 4183,STAT 3128
CEGR 4184,CEGR 3161
CEGR 4184,STAT 3128
CEGR 4185,CEGR 3161
CEGR 4185,CEGR 3153
CEGR 4222,CEGR 3122
CEGR 4222,CEGR 3221
CEGR 4223,CEGR 3122
CEGR 4224,CEGR 3122
CEGR 4226,CEGR 3225
CEGR 4242,CEGR 3141
CEGR 4246,CEGR 3141
CEGR 4247,CEGR 3141
CEGR 4262,CEGR 3161
CEGR 4264,CEGR 3258
CEGR 4264,CEGR 3278
CEGR 4270,CEGR 3122
CEGR 4270,CEGR 3278
CEGR 4271,CEGR 3161
CEGR 4271,CEGR 3278
CEGR 4272,CEGR 3258
CEGR 4272,CEGR 3278
CEGR 4273,CEGR 3278
CEGR 4273,CEGR 3258
CEGR 4278,CEGR 3278
ENVE 3111,CEGR 3141
ENVE 3145,CEGR 4146
